age,balance,housing,loan
52,782,yes,no
48,904,yes,no
48,1705,yes,no
39,47,yes,no
47,176,yes,no
40,1225,yes,no
45,86,yes,no
26,82,yes,no
52,271,yes,no
54,1378,yes,no
54,184,no,no
50,0,no,no
35,0,yes,no
44,1357,yes,yes
53,19,yes,no
35,434,no,no
60,92,yes,no
53,1151,yes,no
48,41,yes,no
34,51,yes,no
54,214,yes,no
51,1161,yes,no
31,37,yes,no
35,787,yes,no
35,59,yes,no
38,253,yes,no
36,211,yes,no
58,235,yes,no
40,4384,yes,no
54,4080,no,no
34,53,yes,yes
31,0,yes,no
51,2127,yes,no
33,377,yes,no
55,73,yes,no
42,445,yes,no
34,243,yes,no
33,307,yes,no
38,155,yes,no
50,173,no,yes
43,400,yes,no
61,1428,yes,no
47,219,yes,no
48,7,yes,no
44,575,yes,no
35,298,yes,no
35,0,yes,no
50,5699,yes,no
41,176,yes,yes
41,517,yes,no
39,257,yes,no
42,56,yes,no
38,-390,yes,no
53,330,yes,no
59,195,no,no
36,301,yes,no
54,-41,yes,no
40,483,yes,no
47,28,no,no
53,13,no,no
46,965,no,no
39,378,yes,yes
40,219,yes,no
28,324,yes,no
35,-69,yes,no
55,0,no,yes
43,205,yes,no
48,278,yes,no
58,1065,yes,no
33,34,yes,no
36,1033,no,no
53,1467,yes,no
47,-12,yes,no
31,388,yes,no
57,294,yes,no
53,1827,no,no
55,627,yes,no
45,25,yes,no
53,315,yes,no
37,0,yes,no
44,66,yes,no
49,-9,yes,yes
46,349,yes,yes
43,100,yes,no
38,0,no,no
43,434,yes,no
49,3237,yes,no
42,275,no,no
22,0,yes,no
40,207,yes,no
39,483,yes,no
51,2248,yes,no
49,428,yes,no
53,0,yes,yes
34,0,yes,no
33,140,yes,no
50,297,yes,no
39,279,yes,no
59,901,yes,no
30,2573,yes,no
36,143,yes,yes
40,475,yes,no
53,70,yes,no
34,318,yes,no
37,275,yes,no
42,742,yes,no
41,236,yes,no
30,25,yes,no
37,600,yes,no
39,-349,yes,no
41,183,yes,yes
40,0,yes,no
42,0,yes,yes
40,0,yes,no
57,1078,yes,no
56,155,no,no
37,190,yes,no
59,319,yes,no
39,-185,yes,no
49,47,no,no
38,570,yes,no
36,19,no,no
50,61,yes,no
41,-62,yes,yes
54,258,no,no
58,76,yes,no
30,0,yes,no
33,352,yes,no
47,368,yes,no
50,339,yes,no
32,1331,yes,no
40,672,yes,no
37,58,yes,no
54,447,yes,no
24,423,yes,no
54,0,no,no
34,19,yes,no
56,13,yes,no
31,3,yes,no
24,82,yes,no
42,28,yes,no
57,792,yes,no
42,408,yes,no
51,531,yes,no
57,211,yes,no
36,62,yes,no
53,257,yes,no
50,1234,yes,no
54,313,yes,no
55,89,yes,no
44,129,yes,yes
43,0,yes,no
56,353,yes,no
54,851,yes,no
55,96,yes,yes
37,398,yes,yes
33,193,no,no
46,-358,yes,no
36,539,yes,yes
51,0,yes,no
40,0,no,no
42,490,yes,no
51,0,yes,no
49,403,yes,no
48,161,yes,no
32,2558,no,no
31,98,yes,no
55,115,no,no
40,436,yes,no
47,831,yes,no
57,206,yes,no
41,290,yes,no
48,1,no,no
42,57,yes,no
30,-457,yes,no
58,1387,yes,no
45,24598,yes,no
49,30,yes,no
42,1022,yes,no
53,56,yes,yes
51,-2,no,no
32,121,yes,no
41,842,yes,no
43,693,yes,no
40,-333,yes,no
50,1533,yes,no
34,46,yes,no
53,18,no,no
45,44,yes,no
39,-100,yes,no
44,510,yes,no
55,685,yes,no
46,187,yes,no
45,66,yes,no
34,560,yes,no
36,0,yes,no
59,27,no,no
31,12,yes,no
44,34,yes,no
33,1068,yes,no
40,211,yes,no
46,377,yes,no
48,263,yes,no
42,1263,yes,no
27,8,yes,no
48,126,yes,yes
59,230,yes,no
46,841,yes,no
38,308,yes,no
43,1,yes,no
38,86,yes,no
23,157,yes,no
34,22,yes,no
38,46,yes,yes
37,1293,no,no
25,122,yes,no
48,131,yes,no
49,143,yes,no
38,393,no,no
43,98,yes,no
33,0,yes,no
55,224,yes,no
38,757,yes,no
49,245,yes,yes
40,8486,no,no
43,350,no,no
38,20,yes,no
58,1667,yes,yes
57,345,yes,no
32,10,yes,no
56,830,yes,yes
58,29,yes,no
60,545,yes,no
37,8730,yes,no
46,477,yes,no
27,4,yes,no
43,1205,yes,no
32,0,yes,yes
40,263,yes,no
38,1,no,no
34,283,no,yes
47,206,yes,no
42,17,yes,no
48,141,yes,yes
29,16,yes,no
50,206,yes,no
52,7,no,no
50,0,no,no
58,0,no,no
46,1927,yes,no
38,284,yes,no
46,1660,yes,no
32,406,yes,no
51,230,yes,no
39,-25,yes,no
48,182,yes,no
36,1169,yes,no
34,67,yes,no
40,77,no,no
43,0,yes,no
52,55,yes,yes
33,72,yes,no
49,163,yes,no
32,151,yes,no
39,113,yes,no
40,0,yes,no
38,9,yes,no
43,375,yes,no
39,1142,yes,no
54,2102,yes,no
38,4325,yes,no
40,217,yes,no
55,131,yes,no
42,1680,yes,no
39,0,yes,no
40,46,yes,no
32,320,yes,no
55,183,yes,no
45,39,no,no
35,560,yes,no
58,469,no,no
35,530,yes,no
49,61,yes,no
34,242,yes,no
36,139,yes,no
24,0,yes,no
34,367,yes,no
51,228,yes,no
39,45248,yes,no
50,-84,yes,no
32,310,yes,no
42,132,yes,no
50,797,yes,no
40,71,no,no
46,2,yes,no
37,231,yes,yes
34,270,yes,yes
44,274,yes,yes
40,-109,yes,yes
37,1,yes,no
33,-60,no,no
35,89,yes,no
58,-11,no,no
39,0,yes,no
43,-509,yes,no
39,408,yes,no
36,58,yes,no
57,1640,no,yes
36,20,yes,no
50,71,yes,no
55,52,yes,no
44,292,yes,no
44,424,yes,no
39,109,yes,no
46,1044,yes,no
39,983,yes,no
34,869,no,no
40,668,yes,no
50,964,yes,no
31,301,yes,no
37,140,yes,no
39,1877,yes,no
51,1127,yes,no
41,871,yes,no
41,767,yes,yes
43,0,no,no
30,209,yes,no
54,0,no,no
43,110,yes,yes
59,-76,yes,yes
47,178,yes,no
40,-66,yes,no
32,0,yes,no
29,1,yes,no
36,0,yes,no
55,5345,no,no
30,-209,yes,no
39,0,yes,no
39,42,yes,no
50,41,yes,no
44,-99,yes,no
37,17,yes,no
46,276,yes,yes
32,-170,no,no
37,230,yes,yes
29,9,yes,no
41,946,yes,no
45,1297,yes,no
57,-331,yes,no
48,44,yes,no
60,15,no,no
26,712,yes,no
58,5435,yes,no
34,507,yes,no
55,387,yes,no
41,0,yes,yes
50,1716,yes,no
49,167,yes,yes
44,40,no,yes
44,148,yes,no
31,17,yes,yes
34,1011,yes,no
46,1527,yes,no
42,744,no,no
52,484,yes,no
29,0,yes,no
53,136,yes,no
43,1335,yes,no
38,517,yes,no
46,459,yes,no
48,549,yes,no
30,83,yes,yes
44,213,no,no
31,203,yes,no
42,518,yes,no
40,3877,yes,no
52,1236,yes,no
45,756,yes,no
48,157,yes,no
45,-66,yes,no
34,245,yes,no
34,-144,yes,no
46,71,yes,no
49,505,yes,no
50,249,yes,no
34,0,yes,no
40,11,yes,no
36,639,yes,no
59,124,yes,no
45,82,yes,no
36,107,yes,no
56,473,yes,no
42,372,yes,yes
30,46,yes,no
30,34,yes,no
47,935,yes,no
33,-10,yes,no
36,-106,yes,no
39,471,yes,no
56,778,yes,no
39,170,yes,no
42,315,yes,no
52,3165,no,no
36,131,yes,no
35,204,yes,no
47,83,yes,no
59,0,yes,yes
57,5431,yes,yes
38,1759,yes,no
46,-125,yes,no
34,0,no,no
28,5090,yes,no
38,573,yes,no
56,1602,yes,no
41,-137,yes,yes
52,0,no,no
54,193,no,no
61,195,yes,yes
53,288,no,no
47,19,yes,no
53,25,yes,no
46,216,yes,no
39,190,yes,yes
56,99,yes,no
55,2298,yes,no
44,17,yes,no
37,0,yes,no
35,0,yes,no
55,840,yes,no
37,358,yes,no
30,0,yes,no
37,-325,yes,yes
36,-15,yes,no
38,581,yes,no
41,4070,yes,no
48,74,no,yes
55,141,yes,no
28,89,no,no
54,0,yes,no
30,450,no,no
48,310,no,no
31,0,yes,no
38,384,yes,no
37,395,yes,no
37,-118,yes,no
56,5,yes,yes
51,50,yes,yes
39,285,yes,yes
49,15,no,no
51,653,yes,yes
43,918,yes,no
32,243,yes,yes
29,405,yes,no
48,1328,yes,no
55,255,yes,no
53,3397,yes,no
47,2106,yes,no
39,2877,yes,no
31,60,yes,yes
39,2226,yes,no
40,2880,yes,no
40,-5,yes,no
48,147,no,no
33,7,yes,yes
40,109,yes,no
59,-119,yes,no
30,484,yes,no
31,1852,yes,no
35,533,yes,no
54,21,yes,no
34,2434,yes,no
32,90,yes,yes
56,4246,yes,no
32,395,yes,no
42,15,yes,no
33,85,no,no
52,-184,yes,yes
52,660,no,no
52,-183,yes,no
30,1144,yes,no
44,1,yes,no
35,69,yes,yes
55,220,yes,no
33,332,yes,no
37,240,yes,no
42,0,yes,no
43,0,yes,no
38,898,yes,no
37,123,yes,yes
31,252,yes,no
41,65,yes,no
41,-366,yes,yes
29,209,yes,no
38,221,yes,no
44,4,yes,no
39,104,yes,no
28,312,yes,no
33,-349,yes,no
41,4,no,no
40,-322,yes,yes
29,-150,yes,no
38,1349,yes,no
32,281,yes,no
45,1259,yes,no
33,101,yes,no
34,848,yes,no
41,89,yes,no
41,140,yes,no
35,148,yes,no
40,200,yes,no
60,46,yes,no
47,201,yes,no
46,530,yes,no
31,0,yes,no
49,1,yes,no
29,43,yes,no
31,-173,yes,no
38,389,yes,no
37,215,yes,yes
35,-131,yes,no
31,783,yes,no
41,0,yes,no
46,80,yes,no
40,105,yes,no
29,182,yes,yes
49,82,yes,no
42,0,yes,no
54,510,yes,no
40,242,yes,no
53,244,yes,yes
49,92,yes,no
40,0,yes,no
29,948,yes,no
36,23,yes,no
37,710,yes,no
39,1205,yes,no
36,368,yes,yes
44,1631,yes,no
40,6,yes,no
49,26,yes,no
30,-48,yes,no
57,2142,yes,no
24,77,yes,yes
46,401,yes,no
33,21,no,no
43,0,yes,no
43,-497,yes,no
40,369,no,no
44,78,yes,no
35,226,yes,yes
47,503,yes,no
33,372,yes,no
31,0,yes,yes
40,0,yes,no
36,125,yes,no
56,4,yes,no
40,419,yes,no
41,322,yes,no
53,303,yes,no
39,607,yes,no
44,579,yes,no
38,3047,yes,no
54,83,yes,no
58,68,yes,no
52,58,yes,no
28,251,yes,no
36,688,yes,no
60,364,yes,no
42,55,yes,no
42,101,yes,no
44,105,yes,no
51,325,yes,no
49,198,yes,no
47,209,yes,no
37,183,yes,no
34,105,yes,no
35,109,yes,no
35,376,yes,yes
40,-7,yes,no
55,0,no,no
55,143,yes,no
35,550,yes,no
57,162,yes,no
53,115,yes,no
41,512,yes,no
57,807,yes,no
45,248,yes,no
43,1211,yes,no
56,7,no,no
31,281,yes,no
37,88,yes,no
30,32,yes,no
30,115,yes,no
54,254,yes,no
36,144,yes,no
55,383,no,no
37,569,yes,yes
38,0,yes,no
48,3754,yes,no
55,6920,yes,no
59,307,yes,yes
37,-421,yes,no
33,60,no,no
44,67,yes,no
57,402,yes,no
30,800,no,no
42,239,yes,yes
51,421,yes,no
44,161,yes,no
46,289,no,no
29,110,yes,no
39,245,yes,no
42,0,yes,no
50,156,yes,no
42,0,yes,no
39,20,yes,no
55,92,yes,no
46,89,yes,no
42,166,yes,no
45,103,yes,no
43,-454,yes,no
42,445,yes,no
30,4,no,no
47,1001,yes,no
51,-69,yes,no
38,42,yes,no
57,1617,yes,no
42,221,yes,no
32,210,yes,yes
46,0,no,no
29,185,yes,no
59,836,yes,no
32,301,yes,no
44,503,yes,no
40,407,yes,no
31,53,yes,no
46,2303,yes,no
43,144,yes,no
34,205,yes,no
39,305,yes,no
30,251,yes,yes
56,0,yes,no
29,8,no,no
40,139,yes,no
36,184,yes,no
37,238,yes,no
35,0,no,no
35,0,yes,no
47,222,yes,no
31,414,yes,no
56,223,yes,no
57,197,no,no
36,-251,yes,no
45,-139,yes,no
47,733,yes,no
29,0,yes,no
57,1,no,no
45,97,yes,no
31,435,yes,no
31,0,yes,no
37,147,no,no
30,3,yes,no
58,1109,yes,yes
33,404,yes,no
39,981,yes,no
33,95,yes,no
34,302,yes,no
36,-290,yes,yes
37,259,yes,no
35,527,yes,yes
55,102,yes,no
34,872,yes,no
40,490,yes,no
42,19,yes,no
37,16,yes,no
42,386,yes,no
35,539,yes,no
44,-329,yes,no
30,-174,yes,no
45,68,yes,no
35,-532,yes,no
36,0,yes,no
49,64,yes,no
31,1415,yes,no
31,147,yes,no
39,72,yes,no
37,-196,yes,no
33,716,yes,no
37,0,yes,no
42,-246,yes,no
56,-203,yes,no
37,245,yes,yes
36,342,yes,no
29,3,yes,no
54,-248,yes,yes
38,376,yes,no
43,370,yes,no
47,594,yes,no
47,387,yes,no
38,208,yes,no
40,563,yes,no
33,392,yes,yes
33,165,no,no
53,236,yes,no
37,52,yes,no
40,1265,yes,no
37,693,yes,no
35,118,yes,no
49,3659,yes,no
26,24,yes,no
38,673,yes,no
52,273,no,no
33,327,yes,no
31,299,yes,no
32,0,yes,no
35,109,yes,no
55,552,no,no
32,473,yes,no
37,414,yes,no
45,154,yes,no
31,344,yes,no
38,8,yes,no
37,78,yes,no
38,266,yes,no
33,98,yes,yes
38,83,yes,no
37,45,yes,no
29,8,yes,no
42,263,yes,no
40,306,yes,no
32,233,yes,no
47,447,no,yes
29,872,yes,no
53,-291,yes,yes
31,309,yes,yes
59,202,yes,no
29,56,yes,yes
59,229,yes,yes
44,143,yes,no
38,100,yes,no
49,326,yes,no
43,167,yes,no
52,545,yes,no
40,2100,yes,yes
32,0,yes,yes
47,192,yes,no
33,442,yes,no
35,267,yes,no
27,0,yes,no
50,377,yes,no
44,7624,no,no
43,66,yes,no
51,37,yes,no
32,64,yes,no
47,34,yes,no
34,627,yes,no
57,1013,yes,no
43,140,yes,no
40,8823,yes,no
28,97,yes,no
38,5,yes,no
37,74,yes,no
44,58544,yes,no
41,169,yes,no
37,444,yes,no
30,542,yes,no
32,-205,yes,no
30,112,yes,no
35,39,no,no
55,1268,yes,no
52,-98,yes,no
33,44,yes,yes
55,-90,yes,yes
33,0,no,no
40,-94,yes,yes
39,-345,yes,no
54,-932,yes,no
39,20,yes,no
49,90,yes,no
52,31,yes,no
27,134,yes,yes
26,0,yes,no
40,61,yes,no
47,-5,yes,no
31,-45,no,no
53,156,yes,yes
31,564,yes,no
33,-6,yes,no
35,528,no,no
46,1481,yes,no
31,2019,no,no
35,1855,yes,no
29,147,yes,yes
51,220,yes,no
33,198,yes,no
37,115,no,no
43,87,yes,no
42,644,yes,no
28,225,yes,yes
57,502,yes,no
38,-32,yes,no
39,106,yes,no
36,301,yes,no
57,906,yes,no
44,187,yes,no
48,852,yes,yes
46,143,yes,no
43,71,no,no
49,1496,yes,no
29,703,yes,no
53,732,yes,no
30,21,yes,no
41,276,yes,no
33,0,yes,no
47,550,yes,no
58,268,yes,no
31,-825,yes,no
38,137,yes,yes
60,42,yes,yes
33,54,no,no
33,1716,yes,no
52,270,yes,no
42,803,yes,no
30,102,yes,no
33,188,yes,no
46,207,yes,no
51,1466,yes,no
40,350,yes,no
50,159,yes,no
42,157,yes,yes
38,0,no,no
36,91,yes,no
37,849,yes,no
33,436,yes,no
38,-1,yes,no
52,297,yes,no
29,313,yes,yes
37,310,yes,no
34,475,yes,no
43,61,yes,no
49,1377,yes,no
33,56,no,no
47,0,yes,no
50,73,no,no
30,660,yes,no
44,-79,yes,no
44,558,yes,no
30,342,yes,no
40,-4,yes,no
41,225,yes,no
34,267,yes,no
53,46,yes,no
35,624,yes,no
34,1107,yes,yes
39,573,yes,no
39,406,yes,no
52,220,yes,no
34,2308,yes,no
37,139,yes,no
39,367,yes,no
52,278,yes,no
35,229,yes,no
36,1722,yes,no
48,-500,yes,no
31,308,yes,no
43,1026,yes,yes
43,548,yes,no
39,356,yes,yes
40,164,yes,no
58,211,no,no
31,19,yes,no
41,108,yes,yes
37,308,yes,no
44,7,yes,yes
37,16,yes,yes
39,867,yes,no
41,277,yes,no
52,196,yes,no
29,365,yes,yes
60,1310,no,no
32,186,no,no
50,148,yes,no
56,862,yes,yes
48,359,yes,no
29,190,no,no
40,4,yes,yes
42,0,yes,no
34,42,yes,no
23,2605,yes,no
30,60,yes,yes
51,98,yes,no
52,-181,yes,no
45,118,yes,no
41,-15,yes,no
27,671,yes,no
50,1557,yes,no
36,-20,yes,no
46,323,yes,no
44,-171,yes,no
47,438,yes,no
40,316,yes,no
36,174,yes,no
46,442,yes,no
58,786,yes,no
30,-317,yes,no
43,667,yes,no
29,-158,yes,no
41,72,yes,no
44,58,yes,no
44,396,yes,yes
59,10,yes,no
39,2887,yes,no
42,0,no,no
31,89,no,no
29,50,yes,no
39,29,yes,no
44,420,yes,no
49,114,yes,no
39,365,yes,no
27,0,yes,no
56,-24,yes,no
43,743,yes,no
37,0,no,no
54,99,yes,no
38,22,yes,yes
31,251,yes,no
34,615,yes,no
35,136,yes,no
44,2167,yes,no
30,309,yes,no
51,221,yes,no
37,321,yes,no
39,-33,yes,no
33,76,yes,no
37,42,yes,no
46,76,yes,no
32,1293,yes,no
43,526,yes,no
59,873,yes,no
46,40,yes,no
47,117,yes,no
31,671,yes,no
30,145,yes,no
38,1807,no,no
44,-212,yes,yes
52,133,yes,no
29,566,no,no
43,1924,yes,no
47,145,yes,no
43,487,yes,no
52,-57,yes,no
32,81,yes,no
40,-227,yes,no
57,2710,yes,yes
30,98,yes,no
48,1230,yes,yes
46,78,yes,yes
59,137,yes,yes
50,354,yes,no
50,149,yes,no
33,126,yes,no
39,0,yes,no
57,8266,yes,no
49,51,yes,no
41,258,yes,no
43,117,yes,no
29,199,yes,yes
56,219,yes,no
46,1571,yes,no
42,223,yes,no
36,-79,no,no
29,321,yes,no
43,2527,yes,no
48,5,yes,no
38,20,yes,no
46,1045,yes,yes
44,1,yes,no
28,3,yes,no
28,-55,yes,no
36,141,yes,no
37,374,yes,no
56,93,yes,no
46,460,yes,no
34,78,yes,no
32,135,yes,no
33,367,yes,yes
36,248,yes,no
35,630,yes,no
44,-30,yes,no
37,157,yes,no
48,268,yes,no
38,164,yes,no
44,-97,yes,no
31,53,yes,no
35,788,yes,no
54,1904,yes,yes
28,260,yes,no
38,447,yes,no
48,720,yes,no
31,2827,yes,no
59,0,no,no
29,1117,yes,no
28,597,yes,no
50,362,yes,no
31,120,yes,no
32,89,yes,yes
30,442,yes,no
32,111,yes,no
29,247,yes,no
30,1,yes,no
34,6,yes,no
34,-947,yes,no
41,191,yes,no
36,-147,yes,no
31,703,yes,no
39,70,no,no
36,83,yes,no
39,125,yes,no
37,190,yes,yes
52,46,yes,no
25,1348,yes,no
42,420,yes,no
27,96,yes,no
42,271,yes,no
29,1320,yes,yes
38,54,yes,no
42,198,yes,no
35,1094,yes,no
41,141,yes,yes
57,207,yes,no
36,-206,yes,no
56,177,yes,no
33,176,yes,no
41,-413,yes,no
33,-81,yes,no
35,3837,yes,no
43,870,yes,yes
36,206,yes,no
37,316,yes,no
51,57,yes,yes
28,1,yes,no
43,-7,no,no
32,611,yes,no
36,157,yes,no
33,233,yes,no
39,419,yes,yes
28,134,yes,no
26,2087,no,no
40,103,yes,no
44,281,yes,no
34,133,yes,no
47,1865,yes,no
55,325,yes,no
48,-18,yes,no
36,49,yes,no
31,7444,yes,yes
30,59,yes,yes
46,45,yes,no
30,387,yes,no
32,5,yes,yes
48,71,yes,no
48,96,yes,no
36,72,yes,no
41,1715,yes,no
49,181,yes,no
26,20,yes,no
38,65,yes,no
27,81,yes,no
51,226,yes,yes
33,1128,yes,no
53,582,yes,no
36,5611,yes,no
48,177,yes,no
27,181,yes,no
42,0,yes,no
61,734,yes,no
31,322,yes,no
37,134,yes,no
34,10350,yes,no
55,84,yes,no
24,620,yes,no
41,254,yes,no
34,0,yes,no
29,5903,yes,no
42,134,yes,yes
45,1381,yes,no
49,104,yes,no
26,318,yes,no
35,2151,yes,no
49,-8,yes,no
44,185,yes,no
41,1773,no,no
50,40,yes,no
58,44,yes,no
43,0,yes,no
34,0,yes,no
57,3058,yes,no
43,130,yes,no
38,507,yes,no
35,844,yes,no
49,458,yes,no
33,-744,yes,no
60,-2,yes,no
33,129,yes,no
33,411,yes,no
47,643,yes,no
37,391,yes,no
34,80,yes,yes
32,10,yes,no
36,114,yes,yes
40,1,yes,no
57,1341,yes,no
48,4,yes,no
26,2770,yes,no
30,5956,yes,no
41,55,yes,no
30,131,yes,no
35,1942,yes,no
36,298,yes,no
52,291,no,no
45,85,yes,no
35,797,yes,no
46,152,yes,no
39,481,yes,no
38,66,yes,no
38,4586,yes,no
31,1798,yes,no
39,220,yes,no
32,715,yes,no
32,442,yes,no
26,85,yes,no
35,319,yes,no
26,-29,yes,no
33,303,no,no
41,2398,yes,no
30,31,no,no
36,1832,yes,no
46,2019,yes,no
30,3,yes,no
46,397,no,no
38,1161,yes,no
24,777,yes,no
41,47,yes,no
28,-58,yes,no
55,1513,yes,no
40,121,no,no
38,904,yes,no
40,697,yes,no
54,841,yes,no
49,7317,yes,no
44,-95,yes,no
32,751,yes,no
36,250,yes,no
35,365,yes,no
31,1315,yes,no
34,65,yes,no
36,1852,no,no
44,-84,yes,no
44,36,yes,no
51,125,yes,no
36,0,no,no
37,105,yes,no
31,432,yes,no
42,555,yes,no
55,-24,yes,no
57,2261,yes,no
33,804,yes,yes
44,-617,yes,no
30,-1,yes,no
37,237,yes,no
32,514,yes,no
33,1988,yes,no
31,491,yes,no
46,675,yes,no
34,177,yes,no
51,340,yes,no
49,230,yes,no
52,0,no,no
43,2331,yes,no
35,0,yes,no
27,217,yes,no
43,186,yes,no
49,168,yes,yes
50,145,yes,no
33,140,yes,no
49,-22,yes,no
50,389,yes,no
42,323,yes,yes
28,6,yes,no
41,225,yes,yes
34,142,yes,no
58,5,no,no
46,174,yes,yes
46,-768,yes,no
42,30,no,no
40,968,yes,yes
42,47,yes,yes
33,0,yes,yes
27,91,yes,no
43,-77,yes,no
28,486,yes,no
34,341,yes,no
37,50,yes,no
41,205,yes,no
39,762,yes,no
37,31,yes,no
41,-581,yes,no
36,-45,yes,no
51,0,no,no
28,120,yes,yes
31,335,yes,no
33,-232,yes,no
28,785,yes,no
31,28,yes,no
43,2067,yes,no
48,448,yes,no
26,37,yes,no
34,301,yes,no
38,668,no,no
51,115,yes,yes
49,275,no,no
60,414,no,no
32,3,yes,no
36,496,no,no
28,150,yes,no
34,163,no,no
40,1322,yes,no
33,1713,yes,no
37,242,yes,no
40,-29,no,no
59,381,yes,no
39,82,yes,no
28,21,yes,no
30,1801,yes,no
40,640,yes,yes
28,113,yes,no
39,1042,yes,no
44,240,yes,no
39,-244,yes,no
30,70,yes,yes
35,-339,yes,no
31,59,yes,no
47,1222,yes,no
26,-41,yes,no
25,0,yes,no
42,6,yes,no
30,4,yes,no
28,20,yes,yes
46,846,yes,no
43,338,yes,no
38,90,yes,yes
31,406,yes,no
29,2,no,no
34,2211,no,no
40,87,yes,no
30,178,yes,no
44,185,yes,yes
38,-210,yes,no
43,388,yes,no
32,1,yes,no
33,879,yes,no
32,214,yes,no
40,698,yes,no
34,1601,yes,no
30,717,yes,no
53,255,yes,no
39,375,yes,no
46,587,yes,no
32,644,yes,yes
60,0,yes,no
40,-275,yes,no
47,116,yes,no
25,37,yes,yes
44,753,yes,no
38,162,yes,no
45,984,yes,no
34,199,yes,no
36,241,yes,no
30,648,yes,yes
35,907,yes,yes
39,6322,no,no
46,125,yes,yes
36,90,yes,no
22,54,yes,yes
26,-132,no,no
48,267,no,no
32,289,yes,no
58,613,yes,no
57,618,yes,no
53,1786,yes,no
29,607,yes,yes
34,586,yes,yes
32,459,yes,no
55,298,yes,no
50,134,no,no
43,34,yes,no
44,1378,yes,no
27,417,yes,yes
35,25,yes,no
45,22,yes,no
35,398,yes,no
49,1164,yes,no
34,487,yes,no
46,1069,yes,no
43,-192,yes,no
42,0,yes,no
55,332,yes,no
37,121,yes,no
31,68,yes,no
57,-176,yes,no
33,527,yes,yes
43,193,yes,no
60,7601,yes,no
51,751,no,no
38,495,yes,no
37,670,yes,no
41,363,yes,no
42,376,yes,no
41,292,yes,no
33,0,no,no
32,184,yes,no
30,80,yes,no
43,1824,yes,no
30,2850,no,no
37,48,yes,no
34,76,no,no
32,336,yes,no
42,0,no,yes
35,433,yes,no
34,103,yes,yes
50,1164,yes,no
34,129,yes,no
38,5873,no,no
28,0,yes,no
55,82,yes,no
38,362,yes,no
31,186,yes,no
57,1216,yes,no
50,704,yes,no
47,205,yes,no
39,830,yes,no
34,-315,yes,no
41,64,yes,yes
59,-820,no,no
35,538,yes,yes
31,948,yes,no
55,1288,yes,no
36,70,yes,no
41,393,yes,no
44,365,yes,no
40,879,yes,yes
32,491,yes,no
38,0,yes,no
27,0,no,no
33,229,yes,no
